Date,Open,High,Low,Close,Adj Close,Volume
2020-04-17,137.729996,138.000000,134.910004,137.550003,136.490570,4866500
2020-04-20,136.940002,137.380005,134.509995,134.550003,133.513672,3995400
2020-04-21,132.139999,132.940002,130.589996,130.940002,129.931473,4359500
2020-04-22,132.440002,133.669998,131.220001,132.619995,131.598526,4085100
2020-04-23,132.500000,134.139999,130.029999,130.259995,129.256714,5527700
2020-04-24,130.869995,134.820007,130.649994,134.360001,133.325134,4065500
2020-04-27,134.419998,135.210007,133.889999,134.460007,133.424377,4009200
2020-04-28,136.779999,137.679993,134.660004,136.320007,135.270050,6674200
2020-04-29,136.770004,136.979996,132.899994,133.360001,132.332840,6706800
2020-04-30,132.410004,133.169998,130.419998,132.289993,131.271072,6780000
2020-05-01,131.119995,132.229996,129.520004,130.139999,129.137634,4488000
2020-05-04,130.169998,131.350006,129.320007,130.919998,129.911636,5245300
2020-05-05,131.639999,133.330002,130.770004,131.669998,130.655853,3580000
2020-05-06,131.580002,132.229996,130.690002,130.779999,129.772705,4192200
2020-05-07,131.550003,132.000000,130.119995,131.550003,130.536789,5528000
2020-05-08,133.070007,135.160004,132.460007,134.229996,133.196136,4209100
2020-05-11,133.429993,136.199997,133.169998,134.380005,133.344986,3591100
2020-05-12,134.759995,136.380005,132.860001,132.940002,131.916077,3914600
2020-05-13,133.179993,134.470001,131.449997,132.960007,131.935928,5168500
2020-05-14,132.710007,133.559998,130.149994,133.080002,132.054993,5522200
2020-05-15,133.770004,137.660004,132.789993,135.949997,134.902893,20338200
2020-05-18,136.850006,137.990005,135.059998,135.520004,134.476212,8480300
2020-05-19,134.429993,134.759995,131.399994,131.729996,130.715393,6640300
2020-05-20,132.539993,132.679993,130.339996,131.259995,130.249008,8213100
2020-05-21,130.979996,131.440002,129.610001,130.210007,129.207108,4886300
2020-05-22,129.610001,130.630005,129.169998,130.479996,129.475021,3429200
2020-05-26,131.940002,132.050003,129.399994,129.750000,128.750641,5579300
2020-05-27,129.720001,130.839996,128.580002,130.809998,129.802475,5686500
2020-05-28,131.210007,132.729996,130.110001,132.289993,131.271072,4974400
2020-05-29,132.009995,132.240005,130.320007,131.550003,130.536789,13338800
2020-06-01,131.600006,133.949997,131.190002,132.990005,131.965698,4049200
2020-06-02,133.050003,133.809998,131.119995,132.630005,131.608459,5327500
2020-06-03,133.240005,134.279999,132.600006,132.820007,131.797012,5421200
2020-06-04,131.589996,133.559998,130.179993,130.570007,130.570007,5229700
2020-06-05,131.000000,133.520004,130.770004,132.440002,132.440002,7075700
2020-06-08,131.380005,132.470001,131.240005,132.210007,132.210007,5613000
2020-06-09,131.830002,133.149994,131.050003,132.970001,132.970001,6446900
2020-06-10,133.279999,135.160004,133.169998,134.130005,134.130005,7069900
2020-06-11,134.220001,135.139999,127.459999,127.839996,127.839996,8541000
2020-06-12,129.149994,129.929993,127.430000,129.000000,129.000000,7037500
2020-06-15,128.289993,130.960007,126.529999,130.479996,130.479996,5481000
2020-06-16,132.679993,133.059998,130.119995,131.669998,131.669998,5197700
2020-06-17,131.889999,133.039993,131.490005,131.759995,131.759995,3309700
2020-06-18,131.419998,133.130005,130.630005,132.779999,132.779999,3417200
2020-06-19,134.410004,134.820007,131.220001,131.279999,131.279999,8310100
2020-06-22,130.550003,131.759995,129.949997,131.050003,131.050003,3379900
2020-06-23,131.619995,132.679993,130.979996,131.360001,131.360001,3625600
2020-06-24,130.520004,131.070007,128.679993,129.559998,129.559998,4853500
2020-06-25,129.139999,131.729996,128.050003,131.410004,131.410004,4442000
2020-06-26,131.679993,132.369995,128.059998,128.929993,128.929993,7372700
2020-06-29,130.179993,131.399994,129.429993,131.080002,131.080002,4173900
2020-06-30,131.830002,132.820007,130.850006,132.259995,132.259995,4626700
2020-07-01,132.529999,133.619995,131.940002,132.360001,132.360001,3633000
2020-07-02,133.539993,134.169998,132.539993,132.850006,132.850006,2769200
2020-07-06,133.080002,133.949997,132.309998,133.300003,133.300003,4221600
2020-07-07,132.270004,134.619995,132.169998,133.570007,133.570007,4424500
2020-07-08,134.160004,134.690002,133.160004,134.220001,134.220001,3798200
2020-07-09,132.899994,133.910004,131.727203,132.710007,132.710007,3726900
